Auteur;Destinataire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amigues Graham, M. L.;Aínsa, Fernando (1937-....);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sanguinetti, Julio María (1936-.…);Aínsa, Fernando (1937-.…);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aínsa, Fernando (1937-.…);Achard, Gerardo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aínsa, Fernando (1937-.…);Achard, Gerardo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aínsa, Fernando (1937-.…);Silva Delgado, Adolfo (1923-1992);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aínsa, Fernando (1937-.…);Figueira, Gastón;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aínsa, Fernando (1937-.…);Vientós Gastón, Nilita (1908-1989);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aínsa, Fernando (1937-.…);Bravo, Jorge;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aínsa, Fernando (1937-.…);Cellario, Alberto R. (....-1984);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aínsa, Fernando (1937-.…);Catelli, Raúl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aínsa, Fernando (1937-.…);Milla, Benito (1918-1987);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aínsa, Fernando (1937-.…);Prieto, Daniel A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aínsa, Fernando (1937-.…);Marco, Joaquín (1935-….);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aínsa, Fernando (1937-.…);Marino, Salvador Mario;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Di Candia, César (1929-...);Aínsa, Fernando (1937-....);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arbilla, Danilo;Aínsa, Fernando (1937-....);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aínsa, Fernando (1937-.…);Torrandell, Eulalia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aínsa, Fernando (1937-.…);Veciana, Antonio de;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aínsa, Fernando (1937-.…);Corzo, Miguel Angel (1942-.…);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amigues Alb, Germaine;Aínsa, Fernando (1937-....);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aínsa, Fernando (1937-.…);Bianchetti, Ricardo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aínsa, Fernando (1937-.…);Roggiano, Alfredo A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aínsa, Fernando (1937-.…);Cobo Borda, Juan Gustavo (1948-.…);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
