authorSource,authorDest,score
"b'Humenik, JA'","b'Cortes, HD'",5.895918436663438
"b'Humenik, JA'","b'Bedford, CD'",5.895918436663438
"b'Garcia, EO'","b'Cortes, HD'",5.895918436663438
"b'Garcia, EO'","b'Bedford, CD'",5.895918436663438
"b'Sharma, P'","b'Rousseau, R'",5.87275055607017
"b'Sharma, P'","b'Aggarwal, BS'",5.87275055607017
"b'Sangam, SL'","b'Rousseau, R'",5.87275055607017
"b'Sangam, SL'","b'Garg, KC'",5.87275055607017
"b'Sangam, SL'","b'Aggarwal, BS'",5.87275055607017
"b'Rousseau, R'","b'Karisiddippa, CR'",5.87275055607017
"b'Rousseau, R'","b'Garg, KC'",5.87275055607017
"b'Rousseau, R'","b'Aggarwal, BS'",5.87275055607017
"b'Karisiddippa, CR'","b'Aggarwal, BS'",5.87275055607017
"b'Garg, KC'","b'Aggarwal, BS'",5.87275055607017
"b'Paul, A'","b'Maisonneuve, H'",5.836990063941946
"b'Okubo, Y'","b'Maisonneuve, H'",5.836990063941946
"b'Miquel, JF'","b'Maisonneuve, H'",5.836990063941946
"b'Maisonneuve, H'","b'Durand, T'",5.836990063941946
"b'Maisonneuve, H'","b'Dudognon, G'",5.836990063941946
"b'Maisonneuve, H'","b'Abd El Kader, M'",5.836990063941946
"b'Zhao, HZ'","b'Rousseau, R'",5.660642927454763
"b'Wang, Y'","b'Rousseau, R'",5.660642927454763
"b'Liang, LM'","b'Gupta, BM'",5.590840681436566
"b'Gupta, BM'","b'Glanzel, W'",5.590840681436566
"b'Sharma, P'","b'Banerjee, P'",5.550822461182808
"b'Sharma, L'","b'Banerjee, P'",5.550822461182808
"b'Kumar, S'","b'Banerjee, P'",5.550822461182808
"b'Tshiteya, R'","b'Toothman, DR'",5.489889360732699
"b'Tshiteya, R'","b'Ramirez, AM'",5.489889360732699
"b'Tshiteya, R'","b'Garcia, EO'",5.489889360732699
"b'Tshiteya, R'","b'Eberhart, HJ'",5.489889360732699
"b'Tshiteya, R'","b'Del Rio, JA'",5.489889360732699
"b'Tshiteya, R'","b'Braun, T'",5.489889360732699
"b'Toothman, DR'","b'Ramirez, AM'",5.489889360732699
"b'Toothman, DR'","b'Pfeil, KM'",5.489889360732699
"b'Toothman, DR'","b'Garcia, EO'",5.489889360732699
"b'Toothman, DR'","b'Del Rio, JA'",5.489889360732699
"b'Ramirez, AM'","b'Pfeil, KM'",5.489889360732699
"b'Ramirez, AM'","b'Eberhart, HJ'",5.489889360732699
"b'Ramirez, AM'","b'Braun, T'",5.489889360732699
"b'Pfeil, KM'","b'Garcia, EO'",5.489889360732699
"b'Pfeil, KM'","b'Eberhart, HJ'",5.489889360732699
"b'Pfeil, KM'","b'Del Rio, JA'",5.489889360732699
"b'Pfeil, KM'","b'Braun, T'",5.489889360732699
"b'Garcia, EO'","b'Eberhart, HJ'",5.489889360732699
"b'Garcia, EO'","b'Braun, T'",5.489889360732699
"b'Eberhart, HJ'","b'Del Rio, JA'",5.489889360732699
"b'Del Rio, JA'","b'Braun, T'",5.489889360732699
"b'Paul, A'","b'Levy, D'",5.386270305015739
"b'Paul, A'","b'Gilbert, J'",5.386270305015739
"b'Paul, A'","b'Elalami, J'",5.386270305015739
"b'Paul, A'","b'Dutheuil, C'",5.386270305015739
"b'Paul, A'","b'Deroulede, A'",5.386270305015739
"b'Okubo, Y'","b'Levy, D'",5.386270305015739
"b'Okubo, Y'","b'Gilbert, J'",5.386270305015739
"b'Okubo, Y'","b'Elalami, J'",5.386270305015739
"b'Okubo, Y'","b'Dutheuil, C'",5.386270305015739
"b'Okubo, Y'","b'Deroulede, A'",5.386270305015739
"b'Ojasoo, T'","b'Levy, D'",5.386270305015739
"b'Ojasoo, T'","b'Gilbert, J'",5.386270305015739
"b'Ojasoo, T'","b'Elalami, J'",5.386270305015739
"b'Ojasoo, T'","b'Dutheuil, C'",5.386270305015739
"b'Ojasoo, T'","b'Deroulede, A'",5.386270305015739
"b'Levy, D'","b'Durand, T'",5.386270305015739
"b'Levy, D'","b'Dudognon, G'",5.386270305015739
"b'Levy, D'","b'Abd El Kader, M'",5.386270305015739
"b'Gilbert, J'","b'Durand, T'",5.386270305015739
"b'Gilbert, J'","b'Dudognon, G'",5.386270305015739
"b'Gilbert, J'","b'Abd El Kader, M'",5.386270305015739
"b'Elalami, J'","b'Durand, T'",5.386270305015739
"b'Elalami, J'","b'Dudognon, G'",5.386270305015739
"b'Elalami, J'","b'Abd El Kader, M'",5.386270305015739
"b'Dutheuil, C'","b'Durand, T'",5.386270305015739
"b'Dutheuil, C'","b'Dudognon, G'",5.386270305015739
"b'Dutheuil, C'","b'Abd El Kader, M'",5.386270305015739
"b'Durand, T'","b'Deroulede, A'",5.386270305015739
"b'Dudognon, G'","b'Deroulede, A'",5.386270305015739
"b'Deroulede, A'","b'Abd El Kader, M'",5.386270305015739
"b'Wu, YS'","b'Liu, JW'",5.149670289916585
"b'Liu, JW'","b'Kretschmer, H'",5.149670289916585
"b'Rinia, EJ'","b'Maczelka, H'",5.085750584608103
"b'Rinia, EJ'","b'Grupp, H'",5.085750584608103
"b'Maczelka, H'","b'Grupp, H'",5.085750584608103
"b'Maczelka, H'","b'Brocken, M'",5.085750584608103
"b'Grupp, H'","b'Brocken, M'",5.085750584608103
"b'Liang, LM'","b'Jiang, GH'",5.048797810636584
"b'Kumar, S'","b'Kretschmer, H'",4.819735047732011
"b'Demeis, L'","b'Chaimovich, H'",4.733178649819753
"b'Kretschmer, H'","b'Jiang, GH'",4.574777947069926
"b'Welljamsdorof, A'","b'Small, H'",4.19180654857877
"b'Welljamsdorof, A'","b'Pudovkin, AI'",4.19180654857877
"b'Traynor, M'","b'Mallik, M'",4.19180654857877
"b'Torricella-morales, RG'","b'Milisproost, G'",4.19180654857877
"b'Tomov, DT'","b'Liang, LM'",4.19180654857877
"b'Tomov, DT'","b'Kretschmer, H'",4.19180654857877
"b'Stevens, KA'","b'Breitzman, T'",4.19180654857877
"b'Spurling, TH'","b'Laudel, G'",4.19180654857877
"b'Spurling, TH'","b'Bourke, P'",4.19180654857877
"b'Small, H'","b'Pudovkin, AI'",4.19180654857877
"b'Sharma, L'","b'Roy, S'",4.19180654857877
"b'Sharma, L'","b'Pant, N'",4.19180654857877
"b'Schwarz, S'","b'Matthiessen, CW'",4.19180654857877
"b'Schwarz, S'","b'Find, S'",4.19180654857877
"b'Schoepflin, U'","b'Havemann, F'",4.19180654857877
"b'Roy, S'","b'Pant, N'",4.19180654857877
"b'Rodrigues, PS'","b'Leta, J'",4.19180654857877
"b'Persson, O'","b'Aksnes, DW'",4.19180654857877
