authorSource,authorDest,score
"b'Schoon, ML'","b'Penumarthy, S'",5.939436703534831
"b'Schoon, ML'","b'Meiss, M'",5.939436703534831
"b'Schoon, ML'","b'Larowe, G'",5.939436703534831
"b'Schoon, ML'","b'Burgoon, J'",5.939436703534831
"b'Schoon, ML'","b'Ambre, S'",5.939436703534831
"b'Penumarthy, S'","b'Larowe, G'",5.939436703534831
"b'Penumarthy, S'","b'Janssen, MA'",5.939436703534831
"b'Penumarthy, S'","b'Burgoon, J'",5.939436703534831
"b'Penumarthy, S'","b'Ambre, S'",5.939436703534831
"b'Meiss, M'","b'Larowe, G'",5.939436703534831
"b'Meiss, M'","b'Janssen, MA'",5.939436703534831
"b'Meiss, M'","b'Burgoon, J'",5.939436703534831
"b'Meiss, M'","b'Ambre, S'",5.939436703534831
"b'Larowe, G'","b'Janssen, MA'",5.939436703534831
"b'Janssen, MA'","b'Burgoon, J'",5.939436703534831
"b'Janssen, MA'","b'Ambre, S'",5.939436703534831
"b'Tshiteya, R'","b'Buchtel, HA'",5.814182452288799
"b'Tshiteya, R'","b'Andrews, J'",5.814182452288799
"b'Tolles, WM'","b'Koytcheff, RG'",5.814182452288799
"b'Tolles, WM'","b'Barth, RB'",5.814182452288799
"b'Stump, JA'","b'Koytcheff, RG'",5.814182452288799
"b'Stump, JA'","b'Barth, RB'",5.814182452288799
"b'Murday, JS'","b'Koytcheff, RG'",5.814182452288799
"b'Murday, JS'","b'Barth, RB'",5.814182452288799
"b'Koytcheff, RG'","b'Barth, RB'",5.814182452288799
"b'Karypis, G'","b'Buchtel, HA'",5.814182452288799
"b'Karypis, G'","b'Andrews, J'",5.814182452288799
"b'Humenik, JA'","b'Buchtel, HA'",5.814182452288799
"b'Humenik, JA'","b'Andrews, J'",5.814182452288799
"b'Young, T'","b'Wilcox-jay, K'",5.813374166052885
"b'Wilcox-jay, K'","b'Frame, I'",5.813374166052885
"b'Zhou, P'","b'Schlemmer, B'",5.41276749798328
"b'Zhou, P'","b'Leta, J'",5.41276749798328
"b'Zhou, P'","b'Janssens, F'",5.41276749798328
"b'Zhou, P'","b'Debackere, K'",5.41276749798328
"b'Schlemmer, B'","b'Leta, J'",5.41276749798328
"b'Schlemmer, B'","b'Janssens, F'",5.41276749798328
"b'Schlemmer, B'","b'Debackere, K'",5.41276749798328
"b'Tshiteya, R'","b'Karpouzian, G'",5.102745736907469
"b'Smith, C'","b'Karpouzian, G'",5.102745736907469
"b'Smith, A'","b'Karpouzian, G'",5.102745736907469
"b'Leydesdorff, L'","b'Karpouzian, G'",5.102745736907469
"b'Karypis, G'","b'Karpouzian, G'",5.102745736907469
"b'Karpouzian, G'","b'Del Rio, JA'",5.102745736907469
"b'Karpouzian, G'","b'Cortes, HD'",5.102745736907469
"b'Tuunanen, T'","b'Rushenberg, RL'",4.839648528840774
"b'Tuunanen, T'","b'Pecht, M'",4.839648528840774
"b'Tuunanen, T'","b'Nikodym, KF'",4.839648528840774
"b'Tuunanen, T'","b'Icenhour, AS'",4.839648528840774
"b'Tuunanen, T'","b'Dodbele, S'",4.839648528840774
"b'Tuunanen, T'","b'Briggs, MB'",4.839648528840774
"b'Tuunanen, T'","b'Bhattacharya, S'",4.839648528840774
"b'Tuunanen, T'","b'Barth, RB'",4.839648528840774
"b'Tshiteya, R'","b'Rushenberg, RL'",4.839648528840774
"b'Tshiteya, R'","b'Pecht, M'",4.839648528840774
"b'Tshiteya, R'","b'Nikodym, KF'",4.839648528840774
"b'Tshiteya, R'","b'Icenhour, AS'",4.839648528840774
"b'Tshiteya, R'","b'Dodbele, S'",4.839648528840774
"b'Tshiteya, R'","b'Briggs, MB'",4.839648528840774
"b'Tshiteya, R'","b'Bhattacharya, S'",4.839648528840774
"b'Tshiteya, R'","b'Barth, RB'",4.839648528840774
"b'Rushenberg, RL'","b'Lau, CGY'",4.839648528840774
"b'Pecht, M'","b'Lau, CGY'",4.839648528840774
"b'Nikodym, KF'","b'Lau, CGY'",4.839648528840774
"b'Lau, CGY'","b'Icenhour, AS'",4.839648528840774
"b'Lau, CGY'","b'Eowles, CA'",4.839648528840774
"b'Lau, CGY'","b'Dodbele, S'",4.839648528840774
"b'Lau, CGY'","b'Briggs, MB'",4.839648528840774
"b'Lau, CGY'","b'Bowles, CA'",4.839648528840774
"b'Lau, CGY'","b'Bhattacharya, S'",4.839648528840774
